case_id,year,year,month,day,hour,minute,county,county_name,city,city_name,latitude,longitude,fatalities,route_type,roadway,functional_system,first_harmful_event,lighting,weather
470001,2016,2016,1,2,18,29,11,BRADLEY (11),0,NOT APPLICABLE,35.18453056,-84.90713889,1,Interstate,I-75,Interstate,Motor Vehicle In-Transport,Dark - Not Lighted,Clear
470002,2016,2016,1,5,12,37,103,LINCOLN (103),0,NOT APPLICABLE,35.0075,-86.57718056,1,U.S. Highway,US-231/431 SR-10 HUNTSVILLE HW,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470003,2016,2016,1,7,8,17,111,MACON (111),0,NOT APPLICABLE,36.53048889,-86.10151944,1,State Highway,SR-52 HWY 52 W,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470004,2016,2016,1,14,7,5,43,DICKSON (43),0,NOT APPLICABLE,36.01013889,-87.38323056,1,Interstate,I-40,Interstate,Motor Vehicle In-Transport,Daylight,Clear
470005,2016,2016,1,18,6,45,3,BEDFORD (3),0,NOT APPLICABLE,35.56681111,-86.44553889,1,U.S. Highway,US-231 SR-10,Principal Arterial - Other,Motor Vehicle In-Transport,Dawn,Clear
470006,2016,2016,1,21,11,53,123,MONROE (123),2369,SWEETWATER,35.61775,-84.48795,1,State Highway,SR-322 OAKLAND RD,Minor Arterial,Motor Vehicle In-Transport,Daylight,Clear
470007,2016,2016,1,28,6,3,157,SHELBY (157),1620,MEMPHIS,35.00606667,-89.93675833,1,Local Street - Municipality,HOLMES RD,Minor Arterial,Pedestrian,Dark - Lighted,Clear
470008,2016,2016,1,1,16,59,37,DAVIDSON (37),1760,NASHVILLE,36.27348889,-86.7183,1,Local Street - Municipality,NESBITT LN,Local,Pedestrian,Dusk,Clear
470009,2016,2016,1,15,15,57,93,KNOX (93),1300,KNOXVILLE,35.90915,-83.83768889,1,State Highway,SR-168 W GOV JOHN SEVIER HWY,Minor Arterial,Motor Vehicle In-Transport,Daylight,Cloudy
470010,2016,2016,1,11,10,19,125,MONTGOMERY (125),410,CLARKSVILLE,36.54179167,-87.35716111,1,U.S. Highway,US-79 SR-13 KRAFT ST,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470011,2016,2016,1,9,12,28,43,DICKSON (43),0,NOT APPLICABLE,36.09125,-87.5167,1,U.S. Highway,US-70 SR-1,Minor Arterial,Motor Vehicle In-Transport,Daylight,Rain
470012,2016,2016,1,8,5,20,157,SHELBY (157),1620,MEMPHIS,35.23932222,-90.01125,1,U.S. Highway,US-51 SR-3 THOMAS ST,Principal Arterial - Other,Rollover/Overturn,Dawn,Rain
470013,2016,2016,1,7,13,20,59,GREENE (59),1010,GREENEVILLE,36.13482778,-82.85143056,1,State Highway,SR-70/107 ASHVILLE HWY,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470014,2016,2016,1,26,10,33,93,KNOX (93),0,NOT APPLICABLE,36.11886944,-83.98976111,1,U.S. Highway,US-441 SR-71 NORRIS FRWY,Major Collector,Motor Vehicle In-Transport,Daylight,Rain
470015,2016,2016,1,5,16,56,189,WILSON (189),1360,LEBANON,36.22928056,-86.37728889,1,U.S. Highway,US-70 SR-24 LEBANON RD,Principal Arterial - Other,Wall,Dusk,Clear
470016,2016,2016,1,27,14,24,149,RUTHERFORD (149),1750,MURFREESBORO,35.84225,-86.39198056,1,U.S. Highway,US-41/231 SR-1 NW BROAD ST,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470017,2016,2016,1,15,15,10,189,WILSON (189),0,NOT APPLICABLE,36.336,-86.4362,1,State Highway,SR-109,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Rain
470018,2016,2016,1,19,19,35,149,RUTHERFORD (149),2250,SMYRNA,35.98655,-86.54875,1,State Highway,SR-266 W SAM RIDLEY PKWY,Minor Arterial,Pedestrian,Dark - Lighted,Cloudy
470019,2016,2016,1,15,99,99,189,WILSON (189),0,NOT APPLICABLE,36.17673889,-86.4433,1,County Road,CR-S POSEY HILL RD,Local,Tree (Standing Only),Dark - Not Lighted,Cloudy
470020,2016,2016,1,1,4,12,37,DAVIDSON (37),1760,NASHVILLE,36.09643889,-86.87741111,1,U.S. Highway,US-70S SR-1 MEMPHIS-BRISTOL HW,Principal Arterial - Other,Other Fixed Object,Dark - Lighted,Clear
470021,2016,2016,1,1,15,30,157,SHELBY (157),1620,MEMPHIS,35.11369444,-89.86962222,1,Interstate,I-240,Interstate,Concrete Traffic Barrier,Daylight,Clear
470022,2016,2016,1,3,21,30,157,SHELBY (157),1620,MEMPHIS,35.08348889,-89.87793056,1,State Highway,SR-385 BILL MORRIS PKWY RAMP,Principal Arterial - Other Freeways and Expressways,Guardrail Face,Dark - Lighted,Clear
470023,2016,2016,1,2,2,39,69,HARDEMAN (69),0,NOT APPLICABLE,35.0049,-89.18133056,2,County Road,CR-PARK SWAIN RD,Minor Collector,Ditch,Dark - Not Lighted,Clear
470024,2016,2016,1,10,6,0,113,MADISON (113),1200,JACKSON,35.65906111,-88.86803056,1,Interstate,I-40 US-412,Interstate,Rollover/Overturn,Dark - Lighted,Cloudy
470025,2016,2016,1,3,2,25,157,SHELBY (157),1620,MEMPHIS,35.15415278,-89.887375,1,Interstate,I-40,Interstate,Pedestrian,Dark - Not Lighted,Clear
470026,2016,2016,1,3,4,30,65,HAMILTON (65),400,CHATTANOOGA,35.00991944,-85.22021944,2,U.S. Highway,US-11/64 SR-2 BRAINERD RD,Principal Arterial - Other,"Post, Pole or Other Supports",Dark - Lighted,Clear
470027,2016,2016,1,3,20,18,149,RUTHERFORD (149),1750,MURFREESBORO,35.81135,-86.37181111,1,Local Street - Municipality,S RUTHERFORD BLVD,Minor Arterial,Utility Pole/Light Support,Dark - Lighted,Clear
470028,2016,2016,1,4,6,30,45,DYER (45),710,DYERSBURG,36.01153889,-89.39553056,1,State Highway,SR-211,Minor Arterial,Motor Vehicle In-Transport,Dark - Lighted,Cloudy
470029,2016,2016,1,15,12,25,153,SEQUATCHIE (153),0,NOT APPLICABLE,35.41793056,-85.41746111,1,State Highway,SR-8/11,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Cloudy
470030,2016,2016,1,20,5,0,119,MAURY (119),470,COLUMBIA,35.63761944,-86.92516944,1,U.S. Highway,US-412 SR-99 BEAR CREEK PK,Principal Arterial - Other,Motor Vehicle In-Transport,Dark - Not Lighted,Sleet or Hail
470031,2016,2016,1,27,18,46,179,WASHINGTON (179),985,GRAY,36.41161111,-82.472925,1,County Road,CR-OLD GRAY STATION RD,Major Collector,Motor Vehicle In-Transport,Dusk,Clear
470032,2016,2016,1,24,7,16,65,HAMILTON (65),400,CHATTANOOGA,35.11385,-85.1305,1,State Highway,SR-58,Principal Arterial - Other,Embankment,Daylight,Clear
470033,2016,2016,1,28,19,13,93,KNOX (93),0,NOT APPLICABLE,35.96351111,-84.12821111,1,County Road,CR-CROSSLANE RD,Local,Non-Motorist on Personal Conveyance,Dark - Not Lighted,Clear
470034,2016,2016,1,29,22,45,35,CUMBERLAND (35),540,CROSSVILLE,35.9663,-85.0295,1,Local Street - Municipality,INDUSTRIAL BLVD,Local,Rollover/Overturn,Dark - Lighted,Clear
470035,2016,2016,1,25,12,33,103,LINCOLN (103),0,NOT APPLICABLE,35.06431111,-86.57266111,1,U.S. Highway,US-231/431 SR-10 HUNTSVILLE HW,Principal Arterial - Other,Other Object (not fixed),Daylight,Clear
470036,2016,2016,1,31,8,4,175,VAN BUREN (175),0,NOT APPLICABLE,35.80783056,-85.45881111,1,State Highway,SR-111 BEECH RD,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470037,2016,2016,1,20,9,42,93,KNOX (93),0,NOT APPLICABLE,35.96669722,-84.18220833,1,County Road,CR-SOLWAY RD,Minor Collector,Tree (Standing Only),Daylight,Snow
470038,2016,2016,1,21,23,12,105,LOUDON (105),0,NOT APPLICABLE,35.76988056,-84.32178056,1,State Highway,SR-324 SUGAR LIMB RD,Minor Arterial,Embankment,Dark - Not Lighted,Cloudy
470040,2016,2016,1,10,22,45,93,KNOX (93),1300,KNOXVILLE,35.99775,-83.95935,1,Interstate,I-75 RAMP,Interstate,Guardrail Face,Dark - Lighted,Cloudy
470041,2016,2016,1,29,13,59,93,KNOX (93),0,NOT APPLICABLE,36.05956111,-83.98135,1,State Highway,SR-131 E EMORY RD,Minor Arterial,Motor Vehicle In-Transport,Daylight,Cloudy
470042,2016,2016,2,1,15,0,29,COCKE (29),0,NOT APPLICABLE,35.92011944,-83.17378889,1,State Highway,SR-73 EDWINA RD,Minor Arterial,Mail Box,Daylight,Rain
470043,2016,2016,1,20,20,52,43,DICKSON (43),0,NOT APPLICABLE,36.02385,-87.19011944,1,Interstate,I-40,Interstate,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy
470044,2016,2016,1,27,22,35,93,KNOX (93),1300,KNOXVILLE,35.99376111,-83.87078056,2,Local Street - Municipality,SKYLINE DR,Local,Mail Box,Daylight,Clear
470045,2016,2016,1,31,8,48,103,LINCOLN (103),0,NOT APPLICABLE,35.06256944,-86.63015,1,State Highway,SR-110 ARDMORE HWY,Major Collector,Motor Vehicle In-Transport,Daylight,Clear
470046,2016,2016,1,29,14,10,113,MADISON (113),0,NOT APPLICABLE,35.70213056,-88.68146944,1,Interstate,I-40,Interstate,Motor Vehicle In-Transport,Daylight,Clear
470047,2016,2016,2,2,18,36,1,ANDERSON (1),0,NOT APPLICABLE,36.02710278,-84.08453611,1,U.S. Highway,US-25W SR-9,Principal Arterial - Other,Culvert,Dark - Not Lighted,Clear
470048,2016,2016,2,4,99,99,11,BRADLEY (11),420,CLEVELAND,35.23025,-84.85383056,1,Interstate,I-75,Interstate,Tree (Standing Only),Daylight,Clear
470049,2016,2016,2,3,19,32,93,KNOX (93),0,NOT APPLICABLE,36.10823889,-83.89868056,1,County Road,CR-BELL RD,Minor Collector,Tree (Standing Only),Dark - Not Lighted,Clear
470050,2016,2016,2,7,23,11,93,KNOX (93),1300,KNOXVILLE,35.9969,-83.71003889,1,Interstate,I-40,Interstate,Rollover/Overturn,Dark - Not Lighted,Clear
470051,2016,2016,2,5,14,15,9,BLOUNT (9),0,NOT APPLICABLE,35.74183056,-84.01133056,1,County Road,CR-MORGANTON RD,Minor Arterial,Motor Vehicle In-Transport,Daylight,Clear
470052,2016,2016,1,31,17,39,1,ANDERSON (1),1850,OAK RIDGE,36.01153056,-84.27103889,1,State Highway,SR-62 N ILLINOIS AVE,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470053,2016,2016,1,31,21,25,59,GREENE (59),1010,GREENEVILLE,36.17203889,-82.78993056,3,Local Street - Municipality,OLD TUSCULUM RD,Local,Tree (Standing Only),Dark - Not Lighted,Clear
470054,2016,2016,2,6,14,30,57,GRAINGER (57),0,NOT APPLICABLE,36.27673056,-83.42928889,1,County Road,CR-NARROW VALLEY RD,Local,Rollover/Overturn,Daylight,Clear
470055,2016,2016,1,31,11,29,157,SHELBY (157),1620,MEMPHIS,35.21286667,-89.89182778,1,Local Street - Municipality,LONGACRE AVE,Local,Fell/Jumped from Vehicle,Daylight,Clear
470056,2016,2016,2,6,19,30,187,WILLIAMSON (187),0,NOT APPLICABLE,35.82653056,-86.73825,1,County Road,CR-ARNO RD,Minor Collector,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy
470057,2016,2016,1,31,18,15,47,FAYETTE (47),269,BRADEN,35.36811111,-89.58346944,1,U.S. Highway,US-70/79 SR-1,Minor Arterial,Pedestrian,Dark - Not Lighted,Clear
470058,2016,2016,2,3,19,13,93,KNOX (93),0,NOT APPLICABLE,36.01583889,-84.04558889,1,U.S. Highway,US-25W SR-9 CLINTON PK,Principal Arterial - Other,Culvert,Dusk,Clear
470060,2016,2016,2,8,7,1,157,SHELBY (157),1620,MEMPHIS,35.06123611,-90.01372222,1,Local Street - Municipality,BROOKS RD,Principal Arterial - Other,Pedestrian,Daylight,Clear
470061,2016,2016,2,6,18,5,147,ROBERTSON (147),2040,RIDGETOP,36.3999,-86.7745,1,U.S. Highway,US-41 SR-11,Principal Arterial - Other,Motor Vehicle In-Transport,Dark - Not Lighted,Clear
470062,2016,2016,1,22,22,28,65,HAMILTON (65),400,CHATTANOOGA,35.11085,-85.25173889,1,State Highway,SR-319 DUPONT PKWY,Principal Arterial - Other Freeways and Expressways,Working Motor Vehicle,Dark - Lighted,Snow
470063,2016,2016,2,4,13,50,65,HAMILTON (65),400,CHATTANOOGA,35.191,-85.24221111,1,U.S. Highway,US-27 SR-29,Principal Arterial - Other Freeways and Expressways,Motor Vehicle In-Transport,Daylight,Clear
470064,2016,2016,2,3,5,26,147,ROBERTSON (147),0,NOT APPLICABLE,36.48075,-86.78658889,1,State Highway,SR-76,Major Collector,Motor Vehicle In-Transport,Dark - Not Lighted,Clear
470065,2016,2016,2,5,5,55,69,HARDEMAN (69),0,NOT APPLICABLE,35.20431944,-88.99988889,1,County Road,CR-SAIN RD,Minor Collector,Tree (Standing Only),Dark - Not Lighted,Clear
470066,2016,2016,2,8,8,21,165,SUMNER (165),1970,PORTLAND,36.58341111,-86.5714,1,State Highway,SR-52,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470067,2016,2016,2,13,9,30,157,SHELBY (157),1620,MEMPHIS,35.21087222,-89.95285833,1,Local Street - Municipality,NEW ALLEN RD,Minor Arterial,Motor Vehicle In-Transport,Daylight,Clear
470068,2016,2016,2,12,10,40,93,KNOX (93),0,NOT APPLICABLE,36.10648056,-83.97375,1,U.S. Highway,US-441 SR-71 NORRIS FRWY,Minor Arterial,Motor Vehicle In-Transport,Daylight,Snow
