mstrrecnbr,collision_ts,year,county,countystat,crash,crash_type,fatalities,non_motorists,commercial,fatal_c,nonmotor_c,truck_c,fatalc,serious_injuries,ped,bike,lighting,weather,first_harmful_event,latitude,longitude,in_city,src_layer
102420410,2019-06-16,2019,,19.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.04674,-86.68269,False,Crashes_2010_2019_MPO
100308133,2013-03-25,2013,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.94707,-86.8219,False,Crashes_2010_2019_MPO
101230612,2016-05-16,2016,,19.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.03716,-86.78308,False,Crashes_2010_2019_MPO
101848000,2017-11-25,2017,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.99831,-86.79585,True,Crashes_2010_2019_MPO
101617562,2017-04-17,2017,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.96924,-86.70648,True,Crashes_2010_2019_MPO
100595666,2014-08-14,2014,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.03388,-86.78843,True,Crashes_2010_2019_MPO
101866208,2017-12-19,2017,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.03115,-86.78377,True,Crashes_2010_2019_MPO
101106599,2016-02-16,2016,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.02277,-86.78672,True,Crashes_2010_2019_MPO
100619317,2014-09-15,2014,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.947,-86.81148,False,Crashes_2010_2019_MPO
102548988,2019-10-25,2019,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.95985,-86.7389,True,Crashes_2010_2019_MPO
100142208,2012-01-28,2012,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.92841,-86.74708,False,Crashes_2010_2019_MPO
102611167,2019-12-30,2019,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.93446,-86.81991,False,Crashes_2010_2019_MPO
100439051,2014-02-04,2014,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,36.03474,-86.78792,True,Crashes_2010_2019_MPO
101315879,2016-07-29,2016,,94.0,,,0,0,N,0.0,0.0,0.0,,,,,,,,35.94782,-86.81975,False,Crashes_2010_2019_MPO
