record_no,source_layer,collision_ts,crash_year,latitude,longitude,in_city,fatalities,non_motorists,truck_involved,serious_injuries,pedestrian,bicycle,crash_type,manner_of_collision,lighting,weather,first_harmful_event
10581111,Crashes_2010_2019_MPO,2010-01-15,2010,36.045439,-86.778894,False,0,0,0,,,,,,,,
10581132,Crashes_2010_2019_MPO,2010-01-28,2010,36.045866,-86.710861,False,0,0,0,,,,,,,,
900079333,Crashes_2010_2019_MPO,2010-01-29,2010,35.984058,-86.845818,False,0,0,0,,,,,,,,
900079316,Crashes_2010_2019_MPO,2010-01-29,2010,35.94334,-86.815735,False,0,0,0,,,,,,,,
900080526,Crashes_2010_2019_MPO,2010-01-29,2010,35.978413,-86.803284,True,0,0,0,,,,,,,,
10581140,Crashes_2010_2019_MPO,2010-02-04,2010,36.052427,-86.701933,False,0,0,0,,,,,,,,
900082181,Crashes_2010_2019_MPO,2010-02-15,2010,35.953842,-86.721413,False,0,0,0,,,,,,,,
10581285,Crashes_2010_2019_MPO,2010-02-19,2010,36.042579,-86.703118,False,0,0,0,,,,,,,,
900084425,Crashes_2010_2019_MPO,2010-02-24,2010,35.938915,-86.817017,False,0,0,0,,,,,,,,
10581295,Crashes_2010_2019_MPO,2010-03-11,2010,36.039693,-86.759877,False,0,0,0,,,,,,,,
10463757,Crashes_2010_2019_MPO,2010-03-12,2010,36.04576,-86.72473,False,0,0,0,,,,,,,,
10611752,Crashes_2010_2019_MPO,2010-03-18,2010,36.01482,-86.72556,False,0,0,0,,,,,,,,
900088220,Crashes_2010_2019_MPO,2010-03-21,2010,35.9618,-86.853699,False,0,0,0,,,,,,,,
900089949,Crashes_2010_2019_MPO,2010-03-22,2010,35.954796,-86.811829,False,0,0,0,,,,,,,,
900091149,Crashes_2010_2019_MPO,2010-03-31,2010,35.927765,-86.717583,False,0,0,0,,,,,,,,
900091312,Crashes_2010_2019_MPO,2010-04-01,2010,35.954525,-86.713615,False,0,0,0,,,,,,,,
900093096,Crashes_2010_2019_MPO,2010-04-15,2010,35.980598,-86.855698,False,0,0,0,,,,,,,,
900095639,Crashes_2010_2019_MPO,2010-04-28,2010,36.0261,-86.878899,False,0,0,0,,,,,,,,
10586391,Crashes_2010_2019_MPO,2010-05-06,2010,36.04646,-86.67749,False,0,0,0,,,,,,,,
900099363,Crashes_2010_2019_MPO,2010-05-14,2010,36.0201,-86.864998,False,0,0,0,,,,,,,,
10569325,Crashes_2010_2019_MPO,2010-05-17,2010,36.048368,-86.734621,False,0,0,0,,,,,,,,
900101171,Crashes_2010_2019_MPO,2010-05-20,2010,35.958542,-86.712738,True,0,0,0,,,,,,,,
900103304,Crashes_2010_2019_MPO,2010-05-23,2010,35.939999,-86.817009,False,0,0,0,,,,,,,,
10569341,Crashes_2010_2019_MPO,2010-05-25,2010,36.035849,-86.7617,False,0,0,0,,,,,,,,
900103305,Crashes_2010_2019_MPO,2010-05-26,2010,35.982716,-86.801788,True,0,0,0,,,,,,,,
10569347,Crashes_2010_2019_MPO,2010-05-28,2010,36.039714,-86.781581,False,0,0,0,,,,,,,,
10569913,Crashes_2010_2019_MPO,2010-06-04,2010,36.046037,-86.695771,False,0,0,0,,,,,,,,
10569912,Crashes_2010_2019_MPO,2010-06-04,2010,36.049433,-86.713757,False,0,0,0,,,,,,,,
